         I                 re(RITZ)                 im(RITZ)     (ln|RITZ|)/DT_KRYLOV    (arg(RITZ))/DT_KRYLOV
         1   0.998044381755097E+000   0.656226354257422E-001   0.199419343204761E-002   0.656567123428524E+000
         2   0.998044381755097E+000  -0.656226354257422E-001   0.199419343204761E-002  -0.656567123428524E+000
         3   0.985910520543249E+000   0.732227715008818E-001  -0.114393009496781E+000   0.741330817298551E+000
         4   0.985910520543249E+000  -0.732227715008818E-001  -0.114393009496781E+000  -0.741330817298551E+000
         5   0.987927884677646E+000   0.679760484514397E-001  -0.978398068796305E-001   0.686984129362364E+000
         6   0.987927884677646E+000  -0.679760484514397E-001  -0.978398068796305E-001  -0.686984129362364E+000
         7   0.989719988263401E+000   0.620949565043356E-001  -0.836893046344180E-001   0.626577965224841E+000
         8   0.989719988263401E+000  -0.620949565043356E-001  -0.836893046344180E-001  -0.626577965224841E+000
         9   0.990243331245001E+000   0.552446716654960E-001  -0.825078818294961E-001   0.557312147541083E+000
        10   0.990243331245001E+000  -0.552446716654960E-001  -0.825078818294961E-001  -0.557312147541083E+000
        11   0.990446607668262E+000   0.487495494391096E-001  -0.838949094318309E-001   0.491800764802268E+000
        12   0.990446607668262E+000  -0.487495494391096E-001  -0.838949094318309E-001  -0.491800764802268E+000
        13   0.987057800792458E+000   0.539421429593395E-001  -0.115356246978731E+000   0.545951194142626E+000
        14   0.987057800792458E+000  -0.539421429593395E-001  -0.115356246978731E+000  -0.545951194142626E+000
        15   0.991598033447591E+000   0.420707490180327E-001  -0.753823658024625E-001   0.424017912605819E+000
        16   0.991598033447591E+000  -0.420707490180327E-001  -0.753823658024625E-001  -0.424017912605819E+000
        17   0.988349871942352E+000   0.451406479241201E-001  -0.106766092143759E+000   0.456410231282484E+000
        18   0.988349871942352E+000  -0.451406479241201E-001  -0.106766092143759E+000  -0.456410231282484E+000
        19   0.992617590233831E+000   0.345512508883644E-001  -0.680435524880309E-001   0.347941716178864E+000
        20   0.992617590233831E+000  -0.345512508883644E-001  -0.680435524880309E-001  -0.347941716178864E+000
        21   0.989514296578880E+000   0.363110518891134E-001  -0.986822657499067E-001   0.366793754682230E+000
        22   0.989514296578880E+000  -0.363110518891134E-001  -0.986822657499067E-001  -0.366793754682230E+000
        23   0.993462458216218E+000   0.267120315465620E-001  -0.619765849888883E-001   0.268813349943700E+000
        24   0.993462458216218E+000  -0.267120315465620E-001  -0.619765849888883E-001  -0.268813349943700E+000
        25   0.994401333728743E+000   0.184464900065518E-001  -0.544236945310706E-001   0.185482198290804E+000
        26   0.994401333728743E+000  -0.184464900065518E-001  -0.544236945310706E-001  -0.185482198290804E+000
        27   0.995469697362481E+000   0.972856926919055E-002  -0.449284360512219E-001   0.977253209462436E-001
        28   0.995469697362481E+000  -0.972856926919055E-002  -0.449284360512219E-001  -0.977253209462436E-001
        29   0.990561427284165E+000   0.274635344026511E-001  -0.909920203329863E-001   0.277181201772807E+000
        30   0.990561427284165E+000  -0.274635344026511E-001  -0.909920203329863E-001  -0.277181201772807E+000
        31   0.988141494922976E+000   0.271952647198580E-001  -0.115508012980858E+000   0.275146846041511E+000
        32   0.988141494922976E+000  -0.271952647198580E-001  -0.115508012980858E+000  -0.275146846041511E+000
        33   0.991463570814626E+000   0.185760984626522E-001  -0.839758443799803E-001   0.187338454195581E+000
        34   0.991463570814626E+000  -0.185760984626522E-001  -0.839758443799803E-001  -0.187338454195581E+000
        35   0.992083827301576E+000   0.951035080864348E-002  -0.790172607932106E-001   0.958594348795079E-001
        36   0.992083827301576E+000  -0.951035080864348E-002  -0.790172607932106E-001  -0.958594348795079E-001
        37   0.989766246259936E+000   0.000000000000000E+000  -0.102864786219638E+000   0.000000000000000E+000
        38   0.988518895484574E+000   0.185602083340197E-001  -0.113712874426766E+000   0.187735690957576E+000
        39   0.988518895484574E+000  -0.185602083340197E-001  -0.113712874426766E+000  -0.187735690957576E+000
        40   0.988900906865857E+000   0.997614944535327E-002  -0.111102651841307E+000   0.100877762089911E+000
        41   0.988900906865857E+000  -0.997614944535327E-002  -0.111102651841307E+000  -0.100877762089911E+000
